Soil,Rainfall,Temperature,Season,CropSuccess
Loamy,Medium,Cool,Monsoon,Yes
Sandy,Medium,Hot,Monsoon,No
Peaty,Low,Cool,Monsoon,Yes
Clay,Low,Cool,Summer,No
Peaty,Medium,Warm,Spring,Yes
Clay,Medium,Cool,Monsoon,No
Clay,High,Hot,Spring,Yes
Peaty,High,Cool,Monsoon,No
Sandy,Medium,Warm,Autumn,Yes
Loamy,Low,Cool,Monsoon,No
Sandy,Medium,Warm,Summer,Yes
Sandy,Low,Hot,Spring,No
Loamy,Medium,Warm,Autumn,Yes
Silty,Medium,Warm,Spring,No
Peaty,Low,Hot,Autumn,Yes
Peaty,High,Warm,Spring,No
Peaty,High,Cool,Summer,No
Clay,High,Hot,Spring,Yes
Sandy,Medium,Warm,Monsoon,Yes
Loamy,Medium,Warm,Monsoon,No
Silty,Medium,Hot,Monsoon,Yes
Loamy,Low,Warm,Monsoon,No
Loamy,Medium,Hot,Spring,Yes
Clay,Low,Warm,Autumn,No
Sandy,Low,Cool,Autumn,Yes
Sandy,High,Warm,Winter,Yes
Silty,High,Hot,Winter,Yes
Peaty,Low,Warm,Autumn,No
Silty,Medium,Hot,Winter,No
Loamy,Low,Warm,Monsoon,No
Clay,Low,Warm,Winter,No
Clay,Low,Hot,Autumn,No
Clay,Low,Hot,Monsoon,No
Loamy,High,Warm,Summer,Yes
Peaty,Low,Cool,Monsoon,No
Sandy,High,Cool,Monsoon,No
Clay,High,Warm,Monsoon,No
Peaty,Low,Warm,Autumn,No
Silty,High,Hot,Summer,Yes
Loamy,Low,Hot,Spring,No
Sandy,High,Cool,Summer,Yes
Loamy,High,Hot,Autumn,Yes
Loamy,High,Cool,Monsoon,Yes
Clay,High,Hot,Monsoon,Yes
Sandy,High,Hot,Monsoon,No
Loamy,Low,Warm,Autumn,No
Loamy,Low,Cool,Monsoon,No
Clay,High,Cool,Winter,Yes
Clay,High,Cool,Winter,Yes
Peaty,Medium,Cool,Autumn,Yes
Sandy,Medium,Cool,Monsoon,Yes
Clay,Low,Hot,Spring,No
Sandy,Medium,Hot,Monsoon,No
Silty,High,Hot,Autumn,No
Silty,Low,Cool,Monsoon,Yes
Loamy,Medium,Warm,Monsoon,No
Peaty,Medium,Hot,Winter,No
Loamy,Low,Warm,Spring,Yes
Clay,High,Warm,Summer,Yes
Clay,Low,Cool,Monsoon,No
Peaty,Medium,Hot,Winter,Yes
Loamy,Low,Hot,Spring,Yes
Sandy,High,Cool,Spring,No
Peaty,High,Warm,Autumn,Yes
Peaty,High,Warm,Winter,No
Loamy,Medium,Cool,Winter,No
Sandy,Low,Warm,Monsoon,No
Clay,Medium,Warm,Spring,No
Silty,Low,Warm,Monsoon,Yes
Silty,Low,Hot,Monsoon,Yes
Sandy,Medium,Warm,Monsoon,No
Silty,High,Hot,Monsoon,Yes
Clay,Medium,Hot,Summer,Yes
Loamy,Low,Cool,Spring,No
Clay,High,Hot,Autumn,Yes
Peaty,High,Hot,Monsoon,No
Silty,Medium,Hot,Monsoon,Yes
Clay,Low,Hot,Autumn,Yes
Peaty,Low,Cool,Spring,No
Loamy,Low,Cool,Autumn,No
Peaty,Medium,Cool,Winter,Yes
Sandy,High,Hot,Autumn,Yes
Loamy,High,Warm,Spring,No
Sandy,Medium,Hot,Summer,No
Clay,Medium,Warm,Summer,No
Silty,Medium,Hot,Summer,No
Peaty,Medium,Warm,Autumn,Yes
Sandy,High,Warm,Winter,Yes
Sandy,High,Warm,Winter,No
Sandy,High,Warm,Winter,No
Silty,Medium,Hot,Monsoon,No
Sandy,High,Warm,Winter,No
Sandy,High,Hot,Spring,No
Peaty,High,Hot,Spring,No
Peaty,Medium,Cool,Winter,No
Clay,High,Cool,Spring,No
Loamy,High,Cool,Monsoon,Yes
Sandy,High,Warm,Winter,No
Loamy,High,Hot,Spring,No
Clay,Low,Cool,Spring,Yes
Loamy,Low,Warm,Autumn,No
Sandy,Low,Hot,Winter,Yes
Peaty,High,Warm,Summer,No
Silty,High,Cool,Autumn,Yes
Clay,High,Cool,Autumn,No
Silty,Low,Warm,Winter,Yes
Sandy,Low,Warm,Autumn,Yes
Silty,Low,Cool,Summer,No
Sandy,High,Warm,Autumn,Yes
Silty,High,Cool,Summer,No
Silty,Low,Warm,Autumn,No
Sandy,High,Warm,Summer,No
Sandy,Low,Hot,Autumn,No
Peaty,High,Warm,Monsoon,No
Silty,Medium,Hot,Autumn,No
Peaty,High,Hot,Winter,Yes
Loamy,Low,Cool,Summer,No
Clay,Low,Cool,Monsoon,No
Clay,Medium,Hot,Winter,Yes
Sandy,Medium,Hot,Winter,Yes
Silty,High,Hot,Spring,No
Loamy,High,Cool,Monsoon,No
Silty,High,Hot,Winter,No
Clay,Medium,Cool,Monsoon,No
Peaty,Low,Hot,Winter,No
Clay,Medium,Warm,Autumn,Yes
Sandy,Low,Cool,Monsoon,No
Loamy,High,Cool,Autumn,Yes
Silty,Low,Warm,Autumn,No
Loamy,Low,Hot,Spring,No
Loamy,Low,Hot,Autumn,No
Loamy,Low,Warm,Summer,Yes
Loamy,Low,Warm,Spring,No
Sandy,High,Cool,Winter,No
Silty,High,Cool,Autumn,No
Sandy,Medium,Hot,Monsoon,No
Silty,Medium,Hot,Monsoon,No
Clay,Medium,Cool,Monsoon,No
Clay,High,Cool,Monsoon,No
Clay,Medium,Cool,Winter,No
Silty,Medium,Warm,Winter,No
Silty,High,Hot,Spring,No
Sandy,High,Warm,Winter,Yes
Clay,Medium,Cool,Winter,Yes
Sandy,Low,Cool,Autumn,Yes
Peaty,Medium,Warm,Spring,Yes
Peaty,High,Hot,Monsoon,Yes
Loamy,Low,Warm,Autumn,No
Loamy,Low,Hot,Autumn,Yes
Peaty,High,Cool,Winter,No
Clay,Medium,Cool,Autumn,Yes
Sandy,High,Cool,Spring,Yes
Sandy,High,Warm,Monsoon,Yes
Loamy,Medium,Warm,Winter,No
Silty,Low,Hot,Autumn,Yes
Clay,High,Hot,Spring,Yes
Loamy,High,Warm,Summer,Yes
Sandy,Medium,Cool,Autumn,No
Peaty,Low,Cool,Autumn,Yes
Silty,Low,Hot,Autumn,No
Clay,Medium,Hot,Monsoon,No
Peaty,Medium,Cool,Monsoon,No
Silty,High,Hot,Monsoon,Yes
Loamy,High,Warm,Spring,No
Sandy,Low,Hot,Spring,No
Clay,Medium,Hot,Summer,Yes
Clay,Low,Warm,Spring,Yes
Clay,High,Warm,Spring,No
Sandy,Medium,Warm,Summer,No
Silty,Low,Cool,Summer,Yes
Peaty,Medium,Warm,Summer,Yes
Silty,Low,Cool,Summer,No
Clay,Medium,Warm,Autumn,Yes
Loamy,Medium,Hot,Autumn,Yes
Peaty,Low,Warm,Winter,Yes
Clay,High,Hot,Summer,No
Silty,High,Warm,Winter,No
Silty,High,Hot,Spring,No
Peaty,High,Warm,Summer,Yes
Sandy,High,Warm,Winter,Yes
Peaty,High,Hot,Spring,Yes
Peaty,Low,Hot,Autumn,No
Sandy,High,Warm,Spring,No
Peaty,Medium,Cool,Spring,No
Silty,Low,Cool,Winter,Yes
Sandy,High,Warm,Summer,Yes
Silty,Medium,Hot,Spring,Yes
Clay,High,Cool,Spring,Yes
Silty,High,Hot,Winter,No
Clay,Low,Warm,Spring,Yes
Clay,Medium,Hot,Monsoon,No
Loamy,High,Cool,Spring,Yes
Clay,Low,Warm,Spring,No
Peaty,Low,Hot,Monsoon,No
Peaty,Low,Warm,Winter,No
Peaty,Low,Warm,Spring,No
Sandy,Medium,Cool,Monsoon,No
Silty,High,Hot,Winter,Yes
Clay,High,Warm,Summer,No
Loamy,Medium,Cool,Summer,Yes
Silty,Medium,Warm,Summer,No
Sandy,High,Warm,Monsoon,Yes
Clay,Medium,Cool,Monsoon,Yes
Loamy,Medium,Cool,Summer,Yes
Peaty,Medium,Warm,Monsoon,No
Sandy,High,Hot,Monsoon,No
Silty,High,Cool,Summer,Yes
Sandy,High,Cool,Monsoon,Yes
Peaty,Medium,Warm,Autumn,Yes
Silty,Low,Warm,Autumn,No
Loamy,Medium,Cool,Winter,No
Clay,Medium,Warm,Winter,No
Loamy,Low,Hot,Spring,No
Peaty,Medium,Cool,Monsoon,No
Loamy,Medium,Hot,Monsoon,Yes
Silty,Medium,Cool,Winter,No
Loamy,Medium,Cool,Autumn,No
Silty,Medium,Cool,Summer,No
Sandy,High,Warm,Summer,No
Sandy,Medium,Cool,Winter,Yes
Silty,Low,Cool,Summer,No
Peaty,Low,Hot,Summer,No
Loamy,Low,Cool,Spring,No
Loamy,Low,Hot,Autumn,No
Sandy,Medium,Hot,Monsoon,No
Clay,Low,Cool,Autumn,No
Loamy,High,Cool,Autumn,No
Loamy,Low,Warm,Monsoon,Yes
Peaty,High,Warm,Monsoon,No
Sandy,Medium,Hot,Summer,No
Clay,Low,Hot,Autumn,Yes
Peaty,Medium,Hot,Summer,No
Peaty,Medium,Cool,Spring,Yes
Silty,Low,Warm,Summer,Yes
Sandy,High,Hot,Autumn,Yes
Silty,Medium,Warm,Monsoon,Yes
Clay,Medium,Warm,Summer,No
Loamy,High,Hot,Winter,No
Peaty,High,Warm,Monsoon,No
Silty,Low,Hot,Winter,No
Clay,High,Cool,Spring,No
Peaty,Medium,Cool,Monsoon,Yes
Silty,Medium,Cool,Autumn,Yes
Loamy,Low,Cool,Monsoon,Yes
Clay,High,Warm,Monsoon,Yes
Loamy,Low,Cool,Monsoon,Yes
Loamy,Medium,Cool,Spring,No
Loamy,Low,Warm,Winter,No
Loamy,Low,Cool,Spring,Yes
Peaty,Low,Warm,Monsoon,Yes
Clay,High,Cool,Autumn,Yes
Sandy,High,Hot,Autumn,Yes
Clay,Low,Cool,Autumn,No
Sandy,Medium,Hot,Winter,Yes
Clay,Low,Hot,Spring,No
Silty,High,Cool,Summer,No
Loamy,Low,Hot,Summer,Yes
Silty,Low,Cool,Monsoon,No
Loamy,High,Warm,Monsoon,Yes
Peaty,Medium,Hot,Summer,Yes
Sandy,High,Warm,Summer,No
Clay,High,Warm,Monsoon,No
Sandy,Medium,Cool,Spring,Yes
Peaty,Medium,Cool,Autumn,No
Sandy,Low,Warm,Spring,Yes
Loamy,High,Cool,Autumn,No
Loamy,Medium,Hot,Autumn,No
Peaty,Medium,Warm,Autumn,Yes
Peaty,Medium,Warm,Autumn,Yes
Sandy,Low,Hot,Autumn,No
Sandy,Low,Hot,Summer,No
Silty,High,Cool,Summer,No
Silty,Medium,Cool,Winter,No
Peaty,Low,Warm,Monsoon,Yes
Sandy,Low,Hot,Summer,No
Peaty,High,Warm,Winter,No
Clay,Low,Hot,Spring,No
Clay,Medium,Cool,Monsoon,No
Peaty,Low,Cool,Autumn,No
Silty,Medium,Warm,Winter,No
Clay,Low,Hot,Summer,Yes
Silty,Medium,Cool,Summer,No
Sandy,Medium,Warm,Autumn,No
Silty,High,Hot,Winter,No
Loamy,Low,Cool,Monsoon,Yes
Sandy,High,Warm,Spring,Yes
Silty,Low,Warm,Summer,No
Silty,Low,Cool,Summer,No
Peaty,Low,Warm,Autumn,No
Loamy,Medium,Warm,Summer,No
Peaty,Medium,Hot,Spring,No
Loamy,Low,Hot,Autumn,Yes
Sandy,High,Cool,Summer,No
Silty,Low,Cool,Autumn,No
Silty,High,Cool,Autumn,No
Clay,High,Cool,Spring,No
Silty,Low,Warm,Autumn,Yes
Clay,Low,Hot,Spring,Yes
Clay,Low,Hot,Summer,No
Loamy,High,Hot,Monsoon,No
Clay,Medium,Hot,Summer,No
Loamy,High,Cool,Summer,Yes
Silty,Low,Cool,Monsoon,No
Sandy,Medium,Warm,Summer,Yes
Clay,Medium,Cool,Spring,Yes
Clay,Low,Warm,Autumn,No
Sandy,Medium,Hot,Winter,Yes
Loamy,Medium,Hot,Monsoon,No
Peaty,High,Cool,Monsoon,No
Silty,Low,Hot,Winter,Yes
Peaty,High,Warm,Winter,No
Peaty,Low,Warm,Winter,No
Sandy,Medium,Warm,Winter,No
Loamy,Medium,Cool,Summer,No
Sandy,Medium,Cool,Summer,No
Loamy,Low,Hot,Winter,Yes
Loamy,High,Hot,Autumn,No
Sandy,Low,Hot,Autumn,No
Silty,Low,Cool,Winter,No
Loamy,Low,Warm,Summer,No
Sandy,Low,Warm,Winter,No
Clay,Low,Hot,Summer,Yes
Loamy,High,Cool,Spring,No
Peaty,Medium,Warm,Autumn,Yes
Sandy,Medium,Hot,Monsoon,No
Clay,Low,Hot,Autumn,No
Loamy,Low,Warm,Summer,Yes
Sandy,Low,Warm,Winter,No
Peaty,Low,Cool,Spring,Yes
Clay,Low,Hot,Summer,No
Sandy,Low,Hot,Autumn,No
Clay,Low,Hot,Winter,Yes
Peaty,Low,Hot,Autumn,Yes
Clay,Low,Cool,Winter,Yes
Silty,High,Warm,Winter,No
Loamy,High,Warm,Spring,No
Loamy,High,Cool,Winter,Yes
Sandy,Low,Hot,Monsoon,No
Loamy,High,Cool,Monsoon,No
Loamy,Medium,Cool,Spring,No
Peaty,Low,Hot,Summer,No
Peaty,Medium,Hot,Winter,No
Peaty,Medium,Cool,Monsoon,No
Clay,Medium,Hot,Spring,No
Loamy,High,Warm,Winter,Yes
Clay,Medium,Warm,Spring,No
Silty,High,Warm,Spring,No
Peaty,High,Hot,Autumn,Yes
Silty,Low,Cool,Winter,No
Sandy,Low,Warm,Monsoon,No
Sandy,Medium,Hot,Spring,Yes
Sandy,Medium,Hot,Summer,No
Silty,High,Hot,Monsoon,Yes
Clay,Low,Cool,Winter,No
Peaty,Medium,Warm,Spring,Yes
Loamy,Low,Warm,Autumn,No
Loamy,Medium,Warm,Monsoon,No
Peaty,Low,Warm,Monsoon,Yes
Clay,High,Hot,Spring,Yes
Sandy,Low,Warm,Spring,Yes
Peaty,Medium,Hot,Spring,No
Silty,High,Cool,Winter,Yes
Loamy,Low,Warm,Monsoon,No
Loamy,Medium,Hot,Monsoon,Yes
Clay,High,Cool,Summer,No
Sandy,Low,Hot,Autumn,Yes
Clay,Low,Hot,Summer,Yes
Peaty,Medium,Warm,Monsoon,Yes
Silty,Medium,Hot,Winter,No
Loamy,Medium,Warm,Winter,Yes
Silty,High,Hot,Summer,No
Clay,High,Cool,Summer,No
Clay,Low,Warm,Autumn,Yes
Clay,Medium,Cool,Autumn,Yes
Peaty,Medium,Cool,Monsoon,No
Peaty,Low,Hot,Winter,No
Peaty,High,Warm,Summer,Yes
Loamy,Low,Cool,Summer,No
Loamy,Low,Cool,Winter,No
Clay,High,Hot,Winter,No
Silty,Medium,Cool,Summer,No
Peaty,Medium,Warm,Summer,No
Clay,High,Hot,Autumn,Yes
Peaty,Low,Cool,Spring,No
Peaty,Low,Cool,Spring,No
Silty,High,Cool,Summer,No
Silty,High,Hot,Winter,No
Sandy,High,Cool,Winter,No
Loamy,Low,Cool,Winter,No
Loamy,Medium,Hot,Summer,No
Loamy,Medium,Warm,Autumn,No
Clay,Medium,Hot,Summer,No
Silty,High,Cool,Summer,Yes
Sandy,Low,Warm,Monsoon,Yes
Silty,High,Cool,Spring,Yes
Silty,Low,Warm,Spring,Yes
Sandy,High,Warm,Autumn,Yes
Clay,High,Warm,Summer,Yes
Silty,Medium,Cool,Spring,Yes
Sandy,Low,Hot,Winter,No
Sandy,Medium,Hot,Winter,No
Sandy,Low,Cool,Summer,Yes
Loamy,Medium,Warm,Monsoon,Yes
Loamy,High,Cool,Monsoon,No
Silty,Medium,Cool,Autumn,Yes
Sandy,Medium,Cool,Spring,Yes
Silty,High,Cool,Autumn,No
Clay,Low,Warm,Autumn,No
Silty,Low,Warm,Monsoon,Yes
Silty,Low,Hot,Autumn,Yes
Loamy,Low,Hot,Winter,No
Loamy,High,Cool,Winter,No
Clay,Medium,Warm,Autumn,No
Peaty,Low,Cool,Spring,No
Sandy,Medium,Hot,Autumn,Yes
Silty,Medium,Cool,Winter,No
Loamy,High,Warm,Winter,No
Peaty,Low,Cool,Autumn,No
Sandy,High,Hot,Autumn,No
Loamy,Medium,Hot,Monsoon,No
Peaty,High,Warm,Spring,No
Sandy,Medium,Warm,Summer,Yes
Clay,High,Cool,Summer,Yes
Silty,Low,Hot,Monsoon,Yes
Clay,Medium,Cool,Monsoon,No
Silty,Low,Warm,Summer,No
Peaty,Medium,Warm,Autumn,No
Silty,Low,Warm,Autumn,Yes
Silty,Medium,Warm,Monsoon,No
Sandy,Low,Cool,Summer,No
Silty,Low,Warm,Monsoon,Yes
Sandy,Low,Warm,Spring,No
Loamy,High,Hot,Winter,No
Loamy,High,Cool,Autumn,Yes
Silty,Medium,Warm,Spring,Yes
Peaty,Low,Warm,Monsoon,Yes
Clay,Low,Cool,Autumn,No
Silty,Medium,Warm,Spring,Yes
Sandy,Medium,Hot,Winter,No
Peaty,Low,Cool,Autumn,Yes
Clay,High,Warm,Autumn,Yes
Peaty,Low,Cool,Monsoon,Yes
Sandy,High,Hot,Monsoon,No
Silty,Low,Warm,Winter,No
Loamy,Medium,Hot,Autumn,No
Sandy,Medium,Warm,Autumn,No
Clay,High,Warm,Monsoon,Yes
Clay,Medium,Cool,Spring,No
Peaty,Low,Warm,Spring,No
Peaty,Low,Hot,Monsoon,No
Silty,Medium,Warm,Winter,Yes
Peaty,Medium,Hot,Monsoon,Yes
Silty,High,Warm,Summer,Yes
Peaty,Low,Warm,Monsoon,No
Loamy,Medium,Warm,Monsoon,Yes
Clay,High,Cool,Autumn,Yes
Loamy,High,Warm,Winter,No
Sandy,High,Cool,Monsoon,Yes
Sandy,Medium,Warm,Winter,No
Peaty,Medium,Cool,Winter,No
Loamy,Medium,Cool,Autumn,Yes
Peaty,High,Warm,Autumn,No
Peaty,Low,Cool,Winter,No
Clay,Medium,Cool,Monsoon,Yes
Silty,Medium,Cool,Winter,Yes
Silty,Low,Hot,Monsoon,Yes
Sandy,Low,Warm,Spring,No
Loamy,High,Hot,Autumn,No
Clay,Medium,Cool,Winter,No
Loamy,Medium,Hot,Winter,Yes
Peaty,Medium,Warm,Winter,No
Peaty,High,Hot,Autumn,Yes
Silty,Low,Cool,Spring,No
Silty,Medium,Cool,Monsoon,No
Peaty,Low,Warm,Monsoon,Yes
Clay,Medium,Warm,Monsoon,Yes
Clay,High,Hot,Autumn,Yes
Clay,Medium,Cool,Autumn,Yes
Loamy,Medium,Warm,Spring,No
Peaty,Medium,Cool,Monsoon,Yes
Sandy,Low,Hot,Monsoon,Yes
Loamy,High,Warm,Spring,Yes
Loamy,High,Hot,Monsoon,Yes
Clay,Medium,Cool,Autumn,Yes
Sandy,Medium,Warm,Winter,No
Silty,Low,Warm,Summer,No
Loamy,Medium,Hot,Autumn,Yes
Loamy,Low,Warm,Spring,Yes
Sandy,Medium,Hot,Spring,No
Sandy,Medium,Warm,Autumn,No
Sandy,Low,Warm,Summer,No
Silty,Medium,Cool,Monsoon,No
Sandy,High,Warm,Monsoon,Yes
Silty,Medium,Cool,Monsoon,No
Silty,Medium,Warm,Spring,Yes
Loamy,Low,Hot,Winter,Yes
Loamy,Medium,Warm,Autumn,No
Peaty,Low,Warm,Summer,Yes
Silty,High,Hot,Autumn,No
Loamy,Low,Cool,Spring,No
Loamy,High,Cool,Autumn,Yes
Clay,Low,Hot,Summer,Yes
Loamy,High,Hot,Winter,No
Sandy,High,Hot,Monsoon,No
Loamy,Low,Hot,Spring,No
Sandy,Low,Hot,Winter,No
Silty,Low,Warm,Summer,No
Peaty,Low,Warm,Winter,No
Peaty,Low,Hot,Summer,Yes
Peaty,Low,Warm,Spring,No
Clay,Low,Cool,Monsoon,No
Sandy,Low,Cool,Autumn,No
Loamy,Low,Hot,Winter,No
Silty,Medium,Cool,Monsoon,No
Clay,Low,Cool,Monsoon,No
Loamy,High,Hot,Summer,Yes
Peaty,Medium,Warm,Winter,No
Sandy,High,Hot,Spring,Yes
Sandy,High,Cool,Autumn,Yes
Silty,Medium,Warm,Spring,No
Sandy,High,Cool,Autumn,No
Peaty,High,Hot,Spring,No
Clay,Medium,Cool,Autumn,Yes
Peaty,Low,Warm,Winter,No
Silty,Medium,Cool,Monsoon,No
Silty,High,Hot,Winter,No
Silty,High,Hot,Autumn,Yes
Silty,High,Cool,Autumn,Yes
Sandy,Low,Warm,Summer,No
Peaty,High,Warm,Monsoon,No
Peaty,High,Warm,Summer,No
Clay,Low,Warm,Winter,No
Sandy,Low,Cool,Winter,No
Silty,Medium,Cool,Spring,No
Clay,Low,Hot,Autumn,Yes
Loamy,High,Hot,Spring,No
Clay,Medium,Warm,Winter,No
Sandy,Medium,Cool,Spring,No
Sandy,Low,Cool,Summer,No
Peaty,High,Warm,Spring,No
Clay,Low,Warm,Winter,Yes
Clay,High,Warm,Summer,Yes
Peaty,High,Hot,Summer,No
Loamy,Low,Hot,Monsoon,Yes
Clay,Medium,Hot,Autumn,Yes
Clay,Low,Warm,Autumn,No
Silty,High,Cool,Autumn,Yes
Peaty,High,Cool,Monsoon,Yes
Peaty,High,Cool,Autumn,No
Clay,High,Hot,Spring,No
Sandy,High,Cool,Winter,Yes
Clay,Medium,Cool,Monsoon,Yes
Silty,Low,Cool,Winter,No
Clay,Medium,Hot,Spring,Yes
Peaty,Medium,Warm,Summer,No
Clay,Low,Hot,Summer,No
Sandy,Low,Cool,Autumn,Yes
Peaty,High,Cool,Monsoon,Yes
Clay,Low,Warm,Spring,No
Silty,Medium,Hot,Spring,No
Loamy,Low,Hot,Autumn,No
Loamy,High,Cool,Summer,Yes
Loamy,Medium,Hot,Summer,No
Clay,High,Hot,Spring,Yes
Loamy,Medium,Cool,Winter,Yes
Loamy,Low,Warm,Winter,No
Loamy,Medium,Cool,Autumn,Yes
Clay,Medium,Cool,Winter,Yes
Silty,Medium,Cool,Monsoon,No
Sandy,Medium,Hot,Autumn,No
Peaty,Low,Cool,Monsoon,No
Silty,Medium,Hot,Winter,No
Silty,Medium,Hot,Monsoon,Yes
Silty,Medium,Cool,Spring,No
Silty,High,Hot,Spring,Yes
Loamy,Medium,Cool,Autumn,Yes
Sandy,Medium,Hot,Summer,No
Peaty,Low,Cool,Spring,No
Loamy,Medium,Cool,Winter,Yes
Peaty,High,Hot,Monsoon,No
Sandy,Medium,Hot,Monsoon,No
Silty,Medium,Cool,Winter,No
Peaty,High,Warm,Monsoon,Yes
Silty,Medium,Hot,Monsoon,No
Silty,Medium,Hot,Winter,Yes
Sandy,Medium,Cool,Summer,Yes
Silty,High,Warm,Monsoon,No
Silty,Low,Cool,Monsoon,Yes
Clay,Medium,Warm,Winter,No
Sandy,High,Hot,Winter,No
Peaty,Medium,Cool,Summer,No
Loamy,Low,Hot,Monsoon,No
Sandy,Low,Cool,Winter,Yes
Silty,High,Hot,Autumn,Yes
Silty,High,Hot,Autumn,No
Clay,High,Hot,Monsoon,No
Peaty,Medium,Hot,Spring,Yes
Loamy,Medium,Cool,Autumn,No
Peaty,Low,Hot,Summer,No
Peaty,Medium,Hot,Monsoon,No
Loamy,High,Warm,Autumn,No
Loamy,Medium,Cool,Monsoon,No
Peaty,High,Hot,Autumn,Yes
Loamy,Medium,Hot,Spring,Yes
Loamy,Medium,Cool,Spring,No
Clay,High,Cool,Spring,No
Silty,Low,Cool,Autumn,No
Sandy,Low,Warm,Spring,Yes
Peaty,Medium,Cool,Summer,No
Peaty,Low,Cool,Autumn,Yes
